value_stream,process_step,step_number,total_steps,step_percentage,cycle_time_hours,exceptions_count,rework_required_pct,data_quality_score,automation_level_pct,primary_system,process_health,optimization_opportunity,gmp_relevant
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.5,1,18.3,0.664,58.5,SAP S/4HANA,Yellow,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,7.09,2,11.8,0.543,76.2,SAP S/4HANA,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.42,1,14.2,0.681,26.8,Cloud Platform,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.3,1,4.7,0.724,7.4,Cloud Platform,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.25,7,26.0,0.936,59.2,Cloud Platform,Yellow,Exception Handling,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,6.21,2,54.6,0.96,15.9,Legacy System,Green,System Integration,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.03,2,20.2,0.922,26.5,SAP ECC,Yellow,Improve Data Quality,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.8,1,20.5,0.866,45.0,Legacy System,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,9.58,2,4.9,0.742,33.0,SAP ECC,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,1.54,2,7.2,0.94,17.8,Cloud Platform,Yellow,Process Streamlining,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.51,3,70.1,0.901,15.6,SAP S/4HANA,Yellow,Improve Data Quality,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,0.84,1,41.4,0.724,4.4,Legacy System,Yellow,Improve Data Quality,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,11.08,0,6.3,0.899,49.4,SAP ECC,Green,System Integration,Yes
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,11.29,2,4.3,0.734,51.0,SAP S/4HANA,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,2.94,1,27.9,0.881,83.2,Legacy System,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,13.22,3,23.9,0.856,4.0,Legacy System,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,65.02,3,22.9,0.933,9.0,Legacy System,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,4.14,2,14.1,0.929,40.4,Cloud Platform,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,4.84,0,7.0,0.718,98.1,SAP ECC,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,4.14,5,30.0,0.697,88.3,SAP S/4HANA,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,5.02,3,21.6,0.55,53.4,SAP S/4HANA,Green,System Integration,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,24.86,1,8.5,0.876,83.5,SAP S/4HANA,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,3.55,1,39.7,0.609,24.7,Cloud Platform,Yellow,Process Streamlining,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,2.11,1,28.0,0.844,4.0,Legacy System,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,2.15,1,39.0,0.808,49.8,Legacy System,Yellow,Improve Data Quality,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,8.93,6,21.7,0.918,84.1,Legacy System,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,7.97,0,9.9,0.811,80.9,SAP S/4HANA,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,6.16,1,29.7,0.773,72.1,SAP ECC,Yellow,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Master Planning,2,8,25.0,6.58,4,37.3,0.593,25.8,Cloud Platform,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,2.83,4,25.6,0.647,66.1,SAP ECC,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,1.6,1,25.5,0.803,1.1,SAP ECC,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,17.21,0,27.3,0.612,20.7,Legacy System,Yellow,Automate Manual Steps,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,2.43,1,24.1,0.925,54.5,Legacy System,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,0.35,3,30.6,0.77,45.5,SAP ECC,Yellow,System Integration,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,0.85,1,22.4,0.831,45.9,Cloud Platform,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,1.28,4,45.9,0.519,4.3,Legacy System,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,18.28,1,20.1,0.805,69.2,Cloud Platform,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,0.97,1,31.5,0.878,71.7,SAP S/4HANA,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,0.89,1,8.0,0.957,75.2,SAP S/4HANA,Yellow,System Integration,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,11.14,1,17.8,0.778,85.9,SAP S/4HANA,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,2.99,2,14.1,0.889,71.9,SAP S/4HANA,Red,System Integration,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,4.64,1,18.4,0.584,27.8,SAP S/4HANA,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,1.28,3,9.1,0.819,44.3,SAP ECC,Red,System Integration,Yes
Plan to Manufacture (P2M),MRP Planning,3,8,37.5,3.21,0,19.4,0.566,68.0,SAP ECC,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,0.61,2,18.2,0.853,18.0,Cloud Platform,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,2.72,0,33.2,0.853,65.8,Cloud Platform,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,0.48,0,7.0,0.959,96.4,SAP ECC,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,6.92,1,33.9,0.975,44.4,Cloud Platform,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,4.72,0,4.1,0.614,86.4,SAP ECC,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,0.75,2,16.5,0.615,29.9,SAP S/4HANA,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,24.08,0,28.9,0.882,30.2,Cloud Platform,Yellow,Process Streamlining,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,34.52,1,7.7,0.776,62.7,SAP ECC,Yellow,Exception Handling,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,0.34,1,34.0,0.864,93.3,SAP ECC,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,4.38,0,26.5,0.907,26.9,Cloud Platform,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,4.01,0,29.3,0.559,80.8,SAP S/4HANA,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,6.79,5,8.8,0.975,15.3,SAP S/4HANA,Green,System Integration,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,1.37,2,16.3,0.679,43.1,Legacy System,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,4.94,3,2.4,0.853,76.1,Cloud Platform,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Material Staging,4,8,50.0,2.75,2,22.7,0.788,68.0,Legacy System,Yellow,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,45.82,7,15.7,0.974,71.4,Legacy System,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,4.12,1,22.7,0.806,56.7,Cloud Platform,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,1.04,0,7.6,0.827,21.9,Cloud Platform,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,1.38,4,18.7,0.601,41.0,Legacy System,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,14.85,5,14.4,0.887,6.7,Cloud Platform,Red,System Integration,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,5.01,3,12.4,0.938,29.0,SAP ECC,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,3.18,4,10.0,0.859,73.3,Legacy System,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,10.89,1,33.3,0.934,56.5,Cloud Platform,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,0.62,2,7.1,0.758,65.2,SAP ECC,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,0.36,2,10.4,0.736,50.9,Legacy System,Green,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,13.44,2,7.7,0.816,90.9,Legacy System,Red,System Integration,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,0.98,5,2.0,0.855,42.2,Legacy System,Yellow,Exception Handling,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,4.12,1,18.0,0.856,50.2,Legacy System,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,3.97,3,32.0,0.915,33.2,Legacy System,Yellow,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Manufacturing,5,8,62.5,1.21,3,25.1,0.484,54.7,SAP ECC,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,46.95,1,9.6,0.835,54.7,SAP S/4HANA,Red,System Integration,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,2.37,5,24.6,0.954,10.4,Cloud Platform,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,9.4,1,12.3,0.726,23.1,Cloud Platform,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,1.08,0,27.8,0.625,63.0,Cloud Platform,Red,System Integration,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,1.55,0,20.0,0.862,19.3,SAP ECC,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,3.24,3,12.6,0.908,90.2,Cloud Platform,Yellow,Exception Handling,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,1.48,5,9.3,0.861,48.8,SAP ECC,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,1.77,4,22.3,0.925,55.8,SAP S/4HANA,Red,System Integration,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,1.18,0,31.4,0.918,11.2,Cloud Platform,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,2.33,1,9.0,0.881,66.2,SAP ECC,Yellow,Improve Data Quality,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,6.2,3,29.3,0.922,64.7,SAP S/4HANA,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,0.94,3,11.2,0.566,86.9,Legacy System,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,0.98,4,17.2,0.934,52.1,Legacy System,Yellow,Process Streamlining,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,1.3,1,16.5,0.981,78.5,Legacy System,Green,Process Streamlining,Yes
Plan to Manufacture (P2M),Quality Check,6,8,75.0,4.44,2,37.5,0.917,29.2,Legacy System,Red,System Integration,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,8.43,2,23.1,0.746,97.0,SAP S/4HANA,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,0.44,1,13.3,0.685,91.2,Legacy System,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,9.98,1,30.2,0.973,96.7,Legacy System,Yellow,Process Streamlining,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,4.44,3,21.2,0.773,39.6,Cloud Platform,Yellow,Exception Handling,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,24.67,3,34.6,0.942,8.7,Legacy System,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,16.11,3,3.1,0.87,34.9,Cloud Platform,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,14.26,4,25.5,0.901,27.9,SAP S/4HANA,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,2.73,1,22.6,0.595,2.0,Cloud Platform,Red,Improve Data Quality,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,3.16,1,21.8,0.741,43.2,Cloud Platform,Red,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,3.51,1,10.5,0.912,67.0,Legacy System,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,1.78,3,24.1,0.863,26.5,Cloud Platform,Yellow,Automate Manual Steps,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,2.59,2,22.4,0.964,21.8,SAP ECC,Yellow,Improve Data Quality,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,2.36,7,2.6,0.984,39.9,SAP ECC,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,6.16,1,15.6,0.707,53.2,Cloud Platform,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Batch Release,7,8,87.5,1.76,0,17.6,0.852,35.0,SAP ECC,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,6.26,2,10.2,0.878,54.3,SAP ECC,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,6.3,4,30.5,0.832,16.6,SAP S/4HANA,Red,Process Streamlining,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,26.97,1,19.1,0.717,79.1,SAP S/4HANA,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,1.66,0,7.1,0.66,8.9,Legacy System,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,3.92,0,6.8,0.848,62.0,SAP ECC,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,2.46,1,28.0,0.718,64.8,Legacy System,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,1.05,3,22.4,0.745,99.1,SAP S/4HANA,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,6.78,1,14.5,0.963,15.2,SAP ECC,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,1.58,4,22.3,0.943,39.4,Legacy System,Green,System Integration,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,11.64,4,32.2,0.937,95.4,Cloud Platform,Green,Improve Data Quality,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,10.72,1,12.1,0.875,25.2,SAP ECC,Yellow,System Integration,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,9.68,4,21.4,0.946,29.6,SAP ECC,Green,Exception Handling,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,1.69,3,41.6,0.851,71.7,Cloud Platform,Yellow,Process Streamlining,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,8.57,5,63.3,0.858,33.7,SAP ECC,Red,Exception Handling,Yes
Plan to Manufacture (P2M),Packaging,8,8,100.0,3.92,3,30.4,0.859,16.6,SAP S/4HANA,Red,Automate Manual Steps,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,4.35,1,3.9,0.922,83.7,Legacy System,Red,Process Streamlining,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,2.67,1,19.6,0.729,87.4,SAP ECC,Yellow,Improve Data Quality,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,2.91,1,27.5,0.818,27.8,Cloud Platform,Yellow,Exception Handling,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,15.99,0,32.8,0.958,61.5,SAP S/4HANA,Red,Process Streamlining,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,9.57,3,29.2,0.87,93.9,SAP ECC,Green,Exception Handling,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,7.37,1,27.0,0.713,65.3,SAP S/4HANA,Red,Process Streamlining,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,0.75,3,14.2,0.69,18.4,SAP ECC,Red,Exception Handling,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,5.34,2,12.0,0.843,67.9,SAP ECC,Yellow,Exception Handling,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,7.58,1,5.9,0.799,98.6,SAP ECC,Red,Exception Handling,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,12.76,3,17.6,0.944,8.3,Legacy System,Green,Exception Handling,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,5.9,0,22.0,0.963,11.3,Cloud Platform,Red,Automate Manual Steps,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,1.98,3,8.1,0.665,22.1,SAP S/4HANA,Red,Process Streamlining,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,1.91,3,29.0,0.975,66.4,SAP ECC,Green,Improve Data Quality,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,27.54,4,17.9,0.876,76.1,SAP ECC,Green,Process Streamlining,Yes
Record to Report (R2R),GL Transaction Entry,1,6,16.7,2.41,2,36.9,0.982,21.7,SAP ECC,Red,Improve Data Quality,Yes
Record to Report (R2R),Posting,2,6,33.3,1.24,2,35.0,0.824,11.5,Legacy System,Red,Exception Handling,Yes
Record to Report (R2R),Posting,2,6,33.3,0.71,3,37.7,0.788,90.7,SAP ECC,Green,Automate Manual Steps,Yes
Record to Report (R2R),Posting,2,6,33.3,8.27,1,9.4,0.97,38.2,Cloud Platform,Red,Automate Manual Steps,Yes
Record to Report (R2R),Posting,2,6,33.3,1.36,1,0.7,0.982,73.9,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Posting,2,6,33.3,16.04,1,1.2,0.971,5.6,Legacy System,Yellow,Exception Handling,Yes
Record to Report (R2R),Posting,2,6,33.3,1.97,1,14.6,0.593,10.6,Legacy System,Red,Automate Manual Steps,Yes
Record to Report (R2R),Posting,2,6,33.3,1.93,1,19.1,0.844,13.5,SAP ECC,Red,Process Streamlining,Yes
Record to Report (R2R),Posting,2,6,33.3,0.59,4,5.0,0.855,92.1,SAP ECC,Yellow,Process Streamlining,Yes
Record to Report (R2R),Posting,2,6,33.3,0.1,1,11.3,0.592,44.3,Cloud Platform,Red,Exception Handling,Yes
Record to Report (R2R),Posting,2,6,33.3,2.92,1,4.4,0.878,32.3,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Posting,2,6,33.3,0.82,3,2.7,0.707,82.3,SAP ECC,Yellow,Improve Data Quality,Yes
Record to Report (R2R),Posting,2,6,33.3,11.73,0,18.9,0.936,19.5,SAP S/4HANA,Red,System Integration,Yes
Record to Report (R2R),Posting,2,6,33.3,0.68,3,4.8,0.907,82.0,SAP S/4HANA,Yellow,Exception Handling,Yes
Record to Report (R2R),Posting,2,6,33.3,0.22,2,25.4,0.887,42.9,SAP S/4HANA,Green,Automate Manual Steps,Yes
Record to Report (R2R),Posting,2,6,33.3,4.1,4,6.3,0.948,99.6,Legacy System,Red,Process Streamlining,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,3.19,2,35.4,0.78,93.5,Cloud Platform,Green,Exception Handling,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,1.19,2,25.2,0.85,36.3,Legacy System,Red,Process Streamlining,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,0.53,1,24.6,0.721,43.9,SAP S/4HANA,Green,Improve Data Quality,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,2.71,1,22.8,0.936,77.8,SAP S/4HANA,Green,Improve Data Quality,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,2.58,2,7.1,0.82,81.0,Legacy System,Red,Process Streamlining,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,0.03,3,37.8,0.624,11.2,Cloud Platform,Red,Automate Manual Steps,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,9.26,1,24.2,0.829,97.8,SAP ECC,Green,Process Streamlining,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,2.06,2,8.5,0.916,32.7,Cloud Platform,Yellow,Improve Data Quality,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,0.7,0,17.4,0.686,21.8,SAP ECC,Yellow,Process Streamlining,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,3.47,4,24.4,0.778,38.2,SAP S/4HANA,Yellow,System Integration,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,21.5,1,24.0,0.913,26.9,Cloud Platform,Red,Exception Handling,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,0.52,1,4.0,0.651,11.0,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,0.16,1,25.5,0.725,95.3,SAP ECC,Yellow,Improve Data Quality,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,1.11,5,9.3,0.845,6.0,Legacy System,Yellow,Exception Handling,Yes
Record to Report (R2R),Reconciliation,3,6,50.0,4.37,3,10.1,0.935,1.4,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Consolidation,4,6,66.7,4.71,2,28.4,0.892,87.6,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Consolidation,4,6,66.7,3.49,3,13.5,0.838,69.6,SAP S/4HANA,Red,Process Streamlining,Yes
Record to Report (R2R),Consolidation,4,6,66.7,1.77,5,20.2,0.954,70.2,Cloud Platform,Green,Process Streamlining,Yes
Record to Report (R2R),Consolidation,4,6,66.7,1.96,0,15.1,0.823,50.6,Cloud Platform,Red,Automate Manual Steps,Yes
Record to Report (R2R),Consolidation,4,6,66.7,2.1,1,14.4,0.901,78.4,SAP ECC,Red,Automate Manual Steps,Yes
Record to Report (R2R),Consolidation,4,6,66.7,7.1,2,39.2,0.616,37.0,SAP S/4HANA,Green,Process Streamlining,Yes
Record to Report (R2R),Consolidation,4,6,66.7,1.46,0,3.4,0.912,41.8,Legacy System,Red,Improve Data Quality,Yes
Record to Report (R2R),Consolidation,4,6,66.7,8.76,3,12.6,0.813,75.0,Legacy System,Green,Process Streamlining,Yes
Record to Report (R2R),Consolidation,4,6,66.7,23.41,2,12.9,0.833,23.8,SAP S/4HANA,Yellow,Process Streamlining,Yes
Record to Report (R2R),Consolidation,4,6,66.7,1.12,0,7.8,0.692,59.0,Legacy System,Yellow,Process Streamlining,Yes
Record to Report (R2R),Consolidation,4,6,66.7,0.29,2,25.4,0.893,36.5,SAP S/4HANA,Red,Improve Data Quality,Yes
Record to Report (R2R),Consolidation,4,6,66.7,1.24,1,13.6,0.905,40.5,Legacy System,Green,Improve Data Quality,Yes
Record to Report (R2R),Consolidation,4,6,66.7,5.52,3,12.9,0.687,45.4,Legacy System,Yellow,Automate Manual Steps,Yes
Record to Report (R2R),Consolidation,4,6,66.7,3.58,4,13.8,0.841,16.4,Legacy System,Green,Automate Manual Steps,Yes
Record to Report (R2R),Consolidation,4,6,66.7,3.4,3,8.7,0.85,58.8,Cloud Platform,Green,Automate Manual Steps,Yes
Record to Report (R2R),Closing,5,6,83.3,1.92,4,20.4,0.744,57.8,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Closing,5,6,83.3,26.67,3,42.0,0.848,95.4,SAP ECC,Green,Exception Handling,Yes
Record to Report (R2R),Closing,5,6,83.3,2.1,1,1.5,0.809,92.4,Cloud Platform,Red,Exception Handling,Yes
Record to Report (R2R),Closing,5,6,83.3,3.4,0,33.1,0.95,24.1,Legacy System,Red,System Integration,Yes
Record to Report (R2R),Closing,5,6,83.3,4.73,0,18.0,0.778,92.1,SAP ECC,Red,Exception Handling,Yes
Record to Report (R2R),Closing,5,6,83.3,25.86,0,28.5,0.774,24.2,SAP S/4HANA,Red,System Integration,Yes
Record to Report (R2R),Closing,5,6,83.3,3.17,4,38.1,0.837,40.3,Cloud Platform,Yellow,System Integration,Yes
Record to Report (R2R),Closing,5,6,83.3,0.01,1,28.6,0.877,72.4,SAP S/4HANA,Yellow,Improve Data Quality,Yes
Record to Report (R2R),Closing,5,6,83.3,0.72,2,8.9,0.745,98.2,SAP ECC,Red,Exception Handling,Yes
Record to Report (R2R),Closing,5,6,83.3,4.24,2,15.5,0.948,21.1,SAP S/4HANA,Green,Improve Data Quality,Yes
Record to Report (R2R),Closing,5,6,83.3,1.66,3,3.7,0.85,78.0,SAP ECC,Red,Improve Data Quality,Yes
Record to Report (R2R),Closing,5,6,83.3,3.55,1,7.0,0.967,2.2,Cloud Platform,Red,Automate Manual Steps,Yes
Record to Report (R2R),Closing,5,6,83.3,36.89,2,20.1,0.943,86.1,Legacy System,Yellow,Improve Data Quality,Yes
Record to Report (R2R),Closing,5,6,83.3,0.97,1,8.7,0.933,3.0,Legacy System,Green,Improve Data Quality,Yes
Record to Report (R2R),Closing,5,6,83.3,2.89,4,38.1,0.817,81.3,SAP S/4HANA,Red,Process Streamlining,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,2.75,2,14.2,0.904,72.9,SAP S/4HANA,Red,Process Streamlining,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,0.92,2,15.8,0.9,51.4,SAP S/4HANA,Green,Improve Data Quality,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,1.87,3,5.3,0.594,26.6,SAP S/4HANA,Red,System Integration,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,1.05,3,24.8,0.899,69.7,Cloud Platform,Green,Improve Data Quality,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,27.71,2,29.0,0.712,48.9,Legacy System,Yellow,Improve Data Quality,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,0.67,2,9.6,0.833,78.8,Legacy System,Red,Improve Data Quality,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,4.56,2,11.4,0.867,70.4,Cloud Platform,Green,Exception Handling,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,2.36,1,6.4,0.895,9.5,SAP ECC,Green,System Integration,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,10.98,1,18.0,0.898,83.3,SAP S/4HANA,Green,Automate Manual Steps,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,1.68,1,14.9,0.892,50.7,Legacy System,Green,Process Streamlining,Yes
