compliance_check,audit_schedule,last_audit_days_ago,days_to_next_audit,compliance_status,last_audit_findings,open_findings,finding_closure_rate_pct,regulatory_authority,risk_level,estimated_remediation_days,gxp_impact_area,transformation_dependency
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,27,6,Due Soon,1,1,63.6,PMDA,High,1,Manufacturing,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,254,13,Due Soon,1,0,100.0,PMDA,High,0,Manufacturing,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,263,15,Due Soon,3,3,61.3,Multiple,High,8,Quality,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,217,0,Due Soon,0,0,100.0,PMDA,High,0,Process,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,214,82,Compliant,1,1,63.6,Multiple,Low,6,Manufacturing,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,230,5,Due Soon,7,4,77.5,Multiple,High,1,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,241,24,Due Soon,0,0,100.0,PMDA,High,0,All,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,301,3,Due Soon,1,1,63.6,PMDA,High,14,Process,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,365,75,Compliant,0,2,-700.0,Multiple,Low,9,All,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,83,25,Due Soon,11,1,96.4,EMA,High,12,Data Integrity,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,89,4,Due Soon,0,2,-700.0,EMA,High,0,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,213,3,Due Soon,3,0,100.0,Multiple,High,0,Data Integrity,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,25,142,Compliant,0,0,100.0,FDA,Low,0,Data Integrity,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,82,86,Compliant,0,0,100.0,EMA,Low,0,Process,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,221,172,Compliant,15,0,100.0,FDA,Low,0,Process,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,115,287,Compliant,4,0,100.0,Multiple,Low,0,Data Integrity,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,286,5,Due Soon,1,0,100.0,PMDA,High,0,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,362,1,Due Soon,0,0,100.0,FDA,High,0,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,313,54,Scheduled,1,0,100.0,FDA,Medium,0,Process,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,86,1,Due Soon,7,0,100.0,FDA,High,0,Quality,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,363,74,Compliant,5,5,60.8,Multiple,Low,11,Process,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,332,78,Compliant,6,0,100.0,PMDA,Low,0,Data Integrity,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,225,103,Compliant,5,0,100.0,Multiple,Low,0,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,147,10,Due Soon,1,1,63.6,EMA,High,23,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,185,53,Scheduled,7,0,100.0,EMA,Medium,0,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,117,25,Due Soon,1,2,27.3,EMA,High,12,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,235,28,Due Soon,0,0,100.0,PMDA,High,0,Manufacturing,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,265,2,Due Soon,5,2,84.3,FDA,High,5,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,85,51,Scheduled,3,1,87.1,Multiple,Medium,24,Manufacturing,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,329,338,Compliant,2,0,100.0,EMA,Low,0,Process,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,215,4,Due Soon,5,0,100.0,Multiple,High,0,Process,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,5,44,Scheduled,6,1,93.4,PMDA,Medium,28,Process,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,207,179,Compliant,0,1,-300.0,Multiple,Low,16,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,358,7,Due Soon,3,0,100.0,PMDA,High,0,All,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,19,10,Due Soon,0,1,-300.0,PMDA,High,5,All,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,110,4,Due Soon,3,0,100.0,FDA,High,0,Process,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,175,66,Compliant,5,0,100.0,EMA,Low,0,Manufacturing,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,124,4,Due Soon,0,0,100.0,PMDA,High,0,All,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,191,30,Scheduled,3,1,87.1,PMDA,Medium,7,Process,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,334,24,Due Soon,4,0,100.0,FDA,High,0,All,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,233,0,Due Soon,16,4,90.1,PMDA,High,0,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,180,3,Due Soon,6,1,93.4,PMDA,High,6,Data Integrity,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,267,96,Compliant,2,2,61.9,EMA,Low,30,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,185,3,Due Soon,2,0,100.0,Multiple,High,0,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,211,26,Due Soon,3,0,100.0,FDA,High,0,Manufacturing,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,67,28,Due Soon,3,2,74.2,Multiple,High,4,Quality,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,347,189,Compliant,0,1,-300.0,Multiple,Low,4,Process,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,136,6,Due Soon,0,1,-300.0,Multiple,High,34,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,214,23,Due Soon,4,1,90.2,EMA,High,9,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,365,124,Compliant,0,2,-700.0,Multiple,Low,9,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,356,1,Due Soon,10,5,80.2,EMA,High,4,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,287,80,Compliant,13,4,87.8,PMDA,Low,10,Manufacturing,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,62,3,Due Soon,1,2,27.3,PMDA,High,3,Process,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,79,267,Compliant,2,0,100.0,FDA,Low,0,Data Integrity,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,151,38,Scheduled,2,4,23.8,Multiple,Medium,2,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,216,150,Compliant,4,0,100.0,FDA,Low,0,Data Integrity,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,251,46,Scheduled,3,1,87.1,FDA,Medium,2,Manufacturing,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,23,8,Due Soon,2,2,61.9,Multiple,High,4,All,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,232,72,Compliant,3,1,87.1,PMDA,Low,2,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,71,2,Due Soon,7,1,94.4,Multiple,High,4,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,46,83,Compliant,0,0,100.0,Multiple,Low,0,All,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,277,10,Due Soon,3,1,87.1,FDA,High,12,All,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,363,84,Compliant,4,0,100.0,FDA,Low,0,Process,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,330,1,Due Soon,2,6,-14.3,FDA,High,34,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,292,0,Due Soon,1,1,63.6,EMA,High,3,All,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,338,61,Compliant,0,2,-700.0,EMA,Low,5,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,362,62,Compliant,0,2,-700.0,Multiple,Low,24,Manufacturing,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,206,5,Due Soon,8,1,95.1,FDA,High,6,All,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,93,55,Scheduled,0,2,-700.0,Multiple,Medium,29,Manufacturing,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,132,48,Scheduled,6,2,86.9,FDA,Medium,0,Manufacturing,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,147,2,Due Soon,1,0,100.0,EMA,High,0,Quality,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,158,78,Compliant,6,0,100.0,Multiple,Low,0,Quality,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,93,5,Due Soon,2,0,100.0,FDA,High,0,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,164,3,Due Soon,3,2,74.2,EMA,High,10,All,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,62,48,Scheduled,4,1,90.2,FDA,Medium,2,Quality,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,253,3,Due Soon,1,4,-45.5,Multiple,High,3,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,238,162,Compliant,0,0,100.0,Multiple,Low,0,Manufacturing,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,325,208,Compliant,1,0,100.0,EMA,Low,0,Manufacturing,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,127,1,Due Soon,2,7,-33.3,EMA,High,14,Data Integrity,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,43,14,Due Soon,0,1,-300.0,EMA,High,17,Quality,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,126,2,Due Soon,6,0,100.0,Multiple,High,0,Process,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,238,0,Due Soon,1,2,27.3,PMDA,High,15,Quality,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,140,246,Compliant,2,0,100.0,PMDA,Low,0,All,Data Governance
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,262,149,Compliant,3,0,100.0,PMDA,Low,0,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,154,1,Due Soon,0,0,100.0,FDA,High,0,All,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Semi-Annual,144,142,Compliant,1,0,100.0,Multiple,Low,0,Quality,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,350,5,Due Soon,1,0,100.0,PMDA,High,0,Data Integrity,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,340,31,Scheduled,0,0,100.0,PMDA,Medium,0,Data Integrity,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,307,30,Scheduled,1,0,100.0,PMDA,Medium,0,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,244,311,Compliant,1,0,100.0,FDA,Low,0,Manufacturing,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,357,17,Due Soon,0,0,100.0,Multiple,High,0,All,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,334,332,Compliant,5,1,92.2,FDA,Low,19,Process,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,64,21,Due Soon,2,3,42.9,PMDA,High,2,All,None
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,91,49,Scheduled,2,1,81.0,FDA,Medium,25,Manufacturing,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,228,24,Due Soon,1,2,27.3,FDA,High,8,Quality,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Quarterly,364,87,Compliant,3,3,61.3,PMDA,Low,57,Quality,eBR Implementation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Continuous,114,4,Due Soon,3,0,100.0,EMA,High,0,All,Data Governance
Batch Record Documentation & Completeness,Annual,253,143,Compliant,1,0,100.0,EMA,Low,0,Manufacturing,System Upgrade
Batch Record Documentation & Completeness,Monthly,143,3,Due Soon,0,0,100.0,Multiple,High,0,Quality,None
Batch Record Documentation & Completeness,Semi-Annual,290,168,Compliant,2,2,61.9,EMA,Low,0,Manufacturing,None
Batch Record Documentation & Completeness,Semi-Annual,66,16,Due Soon,2,0,100.0,PMDA,High,0,Process,System Upgrade
Batch Record Documentation & Completeness,Continuous,99,4,Due Soon,6,0,100.0,FDA,High,0,Process,None
Batch Record Documentation & Completeness,Quarterly,287,87,Compliant,2,5,4.8,Multiple,Low,4,Manufacturing,Process Automation
Batch Record Documentation & Completeness,Annual,222,165,Compliant,4,3,70.7,Multiple,Low,2,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Continuous,254,7,Due Soon,14,2,94.3,PMDA,High,1,Process,eBR Implementation
Batch Record Documentation & Completeness,Semi-Annual,143,12,Due Soon,1,1,63.6,Multiple,High,21,Process,Process Automation
Batch Record Documentation & Completeness,Quarterly,201,0,Due Soon,0,1,-300.0,EMA,High,3,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Continuous,116,0,Due Soon,4,1,90.2,Multiple,High,7,Manufacturing,System Upgrade
Batch Record Documentation & Completeness,Semi-Annual,169,42,Scheduled,3,3,61.3,PMDA,Medium,4,Manufacturing,eBR Implementation
Batch Record Documentation & Completeness,Annual,222,245,Compliant,4,0,100.0,FDA,Low,0,Process,Data Governance
Batch Record Documentation & Completeness,Quarterly,56,31,Scheduled,3,2,74.2,Multiple,Medium,5,Quality,Data Governance
Batch Record Documentation & Completeness,Annual,267,170,Compliant,4,1,90.2,EMA,Low,27,Manufacturing,None
Batch Record Documentation & Completeness,Continuous,49,7,Due Soon,0,0,100.0,Multiple,High,0,Process,eBR Implementation
Batch Record Documentation & Completeness,Annual,18,31,Scheduled,5,2,84.3,Multiple,Medium,6,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Semi-Annual,227,15,Due Soon,9,1,95.6,FDA,High,40,Data Integrity,None
Batch Record Documentation & Completeness,Monthly,53,2,Due Soon,2,0,100.0,FDA,High,0,Process,eBR Implementation
Batch Record Documentation & Completeness,Quarterly,206,48,Scheduled,1,5,-81.8,FDA,Medium,4,Process,Process Automation
Batch Record Documentation & Completeness,Semi-Annual,338,153,Compliant,9,2,91.2,FDA,Low,5,All,Process Automation
Batch Record Documentation & Completeness,Monthly,220,25,Due Soon,2,1,81.0,FDA,High,10,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Monthly,169,16,Due Soon,0,4,-1500.0,EMA,High,9,Manufacturing,eBR Implementation
Batch Record Documentation & Completeness,Annual,35,304,Compliant,8,1,95.1,EMA,Low,5,Process,System Upgrade
Batch Record Documentation & Completeness,Continuous,182,4,Due Soon,2,2,61.9,Multiple,High,3,All,None
Batch Record Documentation & Completeness,Monthly,125,5,Due Soon,9,0,100.0,EMA,High,0,Manufacturing,eBR Implementation
Batch Record Documentation & Completeness,Semi-Annual,300,79,Compliant,9,3,86.8,Multiple,Low,14,Process,Data Governance
Batch Record Documentation & Completeness,Quarterly,278,74,Compliant,1,1,63.6,EMA,Low,18,Quality,Process Automation
Batch Record Documentation & Completeness,Quarterly,176,77,Compliant,2,2,61.9,PMDA,Low,15,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Continuous,30,2,Due Soon,2,1,81.0,EMA,High,2,Process,None
Batch Record Documentation & Completeness,Annual,177,216,Compliant,0,3,-1100.0,EMA,Low,18,Quality,System Upgrade
Batch Record Documentation & Completeness,Annual,97,174,Compliant,0,3,-1100.0,Multiple,Low,0,All,None
Batch Record Documentation & Completeness,Quarterly,290,74,Compliant,1,0,100.0,PMDA,Low,0,Process,Data Governance
Batch Record Documentation & Completeness,Monthly,84,10,Due Soon,10,5,80.2,FDA,High,9,All,eBR Implementation
Batch Record Documentation & Completeness,Monthly,2,7,Due Soon,1,1,63.6,EMA,High,14,Quality,Process Automation
Batch Record Documentation & Completeness,Continuous,123,3,Due Soon,0,0,100.0,Multiple,High,0,Data Integrity,Process Automation
Batch Record Documentation & Completeness,Semi-Annual,95,102,Compliant,4,0,100.0,FDA,Low,0,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Annual,16,183,Compliant,0,1,-300.0,FDA,Low,13,Quality,Data Governance
Batch Record Documentation & Completeness,Monthly,324,6,Due Soon,11,0,100.0,PMDA,High,0,Manufacturing,eBR Implementation
Batch Record Documentation & Completeness,Semi-Annual,146,50,Scheduled,2,0,100.0,EMA,Medium,0,Quality,Data Governance
Batch Record Documentation & Completeness,Semi-Annual,284,86,Compliant,0,1,-300.0,EMA,Low,1,Quality,System Upgrade
Batch Record Documentation & Completeness,Annual,135,90,Compliant,1,2,27.3,FDA,Low,6,Manufacturing,System Upgrade
Batch Record Documentation & Completeness,Monthly,57,20,Due Soon,15,0,100.0,PMDA,High,0,Quality,Data Governance
Batch Record Documentation & Completeness,Monthly,190,7,Due Soon,1,0,100.0,PMDA,High,0,Quality,None
Batch Record Documentation & Completeness,Continuous,365,6,Due Soon,0,3,-1100.0,FDA,High,13,Manufacturing,System Upgrade
Batch Record Documentation & Completeness,Semi-Annual,99,48,Scheduled,1,1,63.6,Multiple,Medium,33,Data Integrity,Data Governance
Batch Record Documentation & Completeness,Continuous,326,6,Due Soon,0,0,100.0,EMA,High,0,Manufacturing,None
Batch Record Documentation & Completeness,Continuous,275,3,Due Soon,0,3,-1100.0,PMDA,High,1,Quality,Data Governance
Batch Record Documentation & Completeness,Semi-Annual,323,13,Due Soon,1,1,63.6,PMDA,High,9,Quality,None
Batch Record Documentation & Completeness,Continuous,108,7,Due Soon,4,0,100.0,FDA,High,0,All,None
Batch Record Documentation & Completeness,Annual,261,85,Compliant,2,5,4.8,Multiple,Low,3,Process,Data Governance
Batch Record Documentation & Completeness,Monthly,238,16,Due Soon,0,1,-300.0,EMA,High,14,Data Integrity,Data Governance
Batch Record Documentation & Completeness,Continuous,254,7,Due Soon,1,0,100.0,Multiple,High,0,Data Integrity,None
Batch Record Documentation & Completeness,Monthly,299,20,Due Soon,4,1,90.2,FDA,High,20,Quality,System Upgrade
Batch Record Documentation & Completeness,Semi-Annual,121,115,Compliant,5,0,100.0,Multiple,Low,0,Quality,Data Governance
Batch Record Documentation & Completeness,Monthly,194,28,Due Soon,5,0,100.0,EMA,High,0,Data Integrity,Data Governance
Batch Record Documentation & Completeness,Continuous,69,1,Due Soon,5,2,84.3,FDA,High,8,Data Integrity,Process Automation
Batch Record Documentation & Completeness,Continuous,118,5,Due Soon,3,0,100.0,FDA,High,0,All,None
Batch Record Documentation & Completeness,Continuous,219,5,Due Soon,0,0,100.0,Multiple,High,0,All,Process Automation
Batch Record Documentation & Completeness,Monthly,255,11,Due Soon,5,0,100.0,PMDA,High,0,Data Integrity,Process Automation
Batch Record Documentation & Completeness,Annual,227,91,Compliant,0,2,-700.0,EMA,Low,2,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Quarterly,151,10,Due Soon,5,0,100.0,FDA,High,0,Data Integrity,System Upgrade
Batch Record Documentation & Completeness,Annual,37,60,Compliant,1,0,100.0,PMDA,Low,0,Manufacturing,None
Batch Record Documentation & Completeness,Semi-Annual,101,85,Compliant,6,0,100.0,PMDA,Low,0,Data Integrity,Data Governance
Batch Record Documentation & Completeness,Quarterly,362,24,Due Soon,0,1,-300.0,EMA,High,18,Process,Data Governance
Batch Record Documentation & Completeness,Annual,145,153,Compliant,0,1,-300.0,PMDA,Low,13,All,Process Automation
Batch Record Documentation & Completeness,Continuous,242,0,Due Soon,2,1,81.0,EMA,High,3,All,System Upgrade
Batch Record Documentation & Completeness,Semi-Annual,243,53,Scheduled,1,1,63.6,EMA,Medium,0,Process,None
Batch Record Documentation & Completeness,Continuous,237,7,Due Soon,2,0,100.0,PMDA,High,0,Manufacturing,Data Governance
Batch Record Documentation & Completeness,Semi-Annual,358,109,Compliant,1,1,63.6,Multiple,Low,21,Quality,Process Automation
Batch Record Documentation & Completeness,Monthly,286,27,Due Soon,2,0,100.0,FDA,High,0,Data Integrity,System Upgrade
Batch Record Documentation & Completeness,Continuous,157,2,Due Soon,0,1,-300.0,FDA,High,7,All,Data Governance
Batch Record Documentation & Completeness,Quarterly,215,28,Due Soon,3,0,100.0,Multiple,High,0,All,None
Batch Record Documentation & Completeness,Quarterly,301,41,Scheduled,5,3,76.5,FDA,Medium,0,Process,eBR Implementation
Batch Record Documentation & Completeness,Semi-Annual,170,39,Scheduled,4,0,100.0,Multiple,Medium,0,All,System Upgrade
Batch Record Documentation & Completeness,Monthly,274,2,Due Soon,1,0,100.0,Multiple,High,0,Quality,Process Automation
Batch Record Documentation & Completeness,Annual,292,168,Compliant,3,0,100.0,Multiple,Low,0,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Semi-Annual,346,26,Due Soon,5,0,100.0,EMA,High,0,Manufacturing,None
Batch Record Documentation & Completeness,Monthly,96,0,Due Soon,1,0,100.0,EMA,High,0,Manufacturing,Process Automation
Batch Record Documentation & Completeness,Quarterly,120,26,Due Soon,3,0,100.0,PMDA,High,0,Process,eBR Implementation
Batch Record Documentation & Completeness,Monthly,189,1,Due Soon,1,0,100.0,FDA,High,0,Quality,Data Governance
Batch Record Documentation & Completeness,Monthly,81,12,Due Soon,0,0,100.0,FDA,High,0,Quality,None
Batch Record Documentation & Completeness,Monthly,36,15,Due Soon,0,0,100.0,Multiple,High,0,Quality,System Upgrade
Batch Record Documentation & Completeness,Semi-Annual,222,79,Compliant,2,0,100.0,Multiple,Low,0,Quality,None
Batch Record Documentation & Completeness,Continuous,301,4,Due Soon,3,0,100.0,EMA,High,0,Process,Process Automation
Batch Record Documentation & Completeness,Quarterly,4,25,Due Soon,1,2,27.3,EMA,High,8,All,eBR Implementation
Batch Record Documentation & Completeness,Monthly,127,19,Due Soon,9,0,100.0,PMDA,High,0,Process,Process Automation
Batch Record Documentation & Completeness,Monthly,295,14,Due Soon,5,2,84.3,FDA,High,22,Manufacturing,Data Governance
Batch Record Documentation & Completeness,Monthly,359,11,Due Soon,9,0,100.0,PMDA,High,0,All,None
Batch Record Documentation & Completeness,Semi-Annual,128,106,Compliant,0,1,-300.0,EMA,Low,4,Process,Process Automation
Batch Record Documentation & Completeness,Monthly,338,12,Due Soon,5,0,100.0,EMA,High,0,Process,eBR Implementation
Batch Record Documentation & Completeness,Monthly,23,22,Due Soon,4,0,100.0,EMA,High,0,Quality,Data Governance
Batch Record Documentation & Completeness,Continuous,342,4,Due Soon,1,5,-81.8,FDA,High,0,Quality,Process Automation
Batch Record Documentation & Completeness,Monthly,284,24,Due Soon,1,0,100.0,FDA,High,0,Data Integrity,eBR Implementation
Batch Record Documentation & Completeness,Annual,167,258,Compliant,5,1,92.2,Multiple,Low,16,All,System Upgrade
Batch Record Documentation & Completeness,Quarterly,260,26,Due Soon,2,0,100.0,FDA,High,0,All,eBR Implementation
Batch Record Documentation & Completeness,Annual,356,327,Compliant,0,0,100.0,Multiple,Low,0,All,Data Governance
Batch Record Documentation & Completeness,Monthly,100,27,Due Soon,2,1,81.0,Multiple,High,2,Manufacturing,eBR Implementation
Batch Record Documentation & Completeness,Quarterly,364,14,Due Soon,0,0,100.0,EMA,High,0,Data Integrity,Process Automation
Batch Record Documentation & Completeness,Monthly,35,14,Due Soon,1,0,100.0,FDA,High,0,Process,System Upgrade
Equipment Qualification (IQ/OQ/PQ),Monthly,242,4,Due Soon,0,0,100.0,PMDA,High,0,Quality,System Upgrade
Equipment Qualification (IQ/OQ/PQ),Annual,52,310,Compliant,5,0,100.0,EMA,Low,0,Data Integrity,eBR Implementation
Equipment Qualification (IQ/OQ/PQ),Continuous,87,6,Due Soon,5,0,100.0,FDA,High,0,Manufacturing,Data Governance
Equipment Qualification (IQ/OQ/PQ),Semi-Annual,184,112,Compliant,3,0,100.0,EMA,Low,0,Quality,eBR Implementation
Equipment Qualification (IQ/OQ/PQ),Continuous,227,3,Due Soon,2,0,100.0,FDA,High,0,Process,eBR Implementation
Equipment Qualification (IQ/OQ/PQ),Monthly,158,22,Due Soon,0,3,-1100.0,Multiple,High,9,Manufacturing,None
Equipment Qualification (IQ/OQ/PQ),Annual,194,24,Due Soon,0,0,100.0,EMA,High,0,Quality,Data Governance
Equipment Qualification (IQ/OQ/PQ),Semi-Annual,47,51,Scheduled,1,1,63.6,FDA,Medium,9,All,eBR Implementation
Equipment Qualification (IQ/OQ/PQ),Annual,99,172,Compliant,0,0,100.0,FDA,Low,0,Quality,eBR Implementation
Equipment Qualification (IQ/OQ/PQ),Semi-Annual,23,42,Scheduled,1,0,100.0,Multiple,Medium,0,Process,eBR Implementation
Equipment Qualification (IQ/OQ/PQ),Quarterly,288,41,Scheduled,2,1,81.0,EMA,Medium,11,Process,System Upgrade
Equipment Qualification (IQ/OQ/PQ),Continuous,220,6,Due Soon,1,3,-9.1,FDA,High,0,Quality,System Upgrade
Equipment Qualification (IQ/OQ/PQ),Annual,166,182,Compliant,2,4,23.8,EMA,Low,7,Manufacturing,Process Automation
